Precinct,Burud_Pct,Rehmet_Pct,Dem_Vote_Change,Hancock_Pct,Wambsganss_Pct,Margin_2022,Margin_2026,Margin_Shift,hisp,nanglo,total,pct_hisp,pct_nonwhite,Shift_Direction,Shift_Code
1001,50.74309978768577,69.20415224913495,18.461052461449178,49.25690021231423,30.79584775086505,1.4861995753715433,38.4083044982699,36.922104922898356,341,873,2240,0.15223214285714284,0.38973214285714286,Shift to Democrats,1
1005,94.65648854961832,96.15384615384616,1.4973576042278438,5.343511450381679,3.8461538461538463,89.31297709923663,92.30769230769232,2.9947152084556876,595,1406,1471,0.4044867437117607,0.95581237253569,Shift to Democrats,1
1008,84.76190476190476,86.04651162790698,1.2846068660022212,15.238095238095239,13.953488372093023,69.52380952380952,72.09302325581396,2.5692137320044424,356,549,589,0.6044142614601019,0.9320882852292021,Shift to Democrats,1
1010,69.6078431372549,91.30434782608695,21.69650468883205,30.392156862745097,8.695652173913043,39.21568627450981,82.6086956521739,43.3930093776641,704,1153,1424,0.4943820224719101,0.8096910112359551,Shift to Democrats,1
1011,86.74698795180723,93.05555555555556,6.30856760374833,13.253012048192772,6.944444444444445,73.49397590361446,86.11111111111111,12.61713520749666,2422,2964,3175,0.7628346456692914,0.9335433070866141,Shift to Democrats,1
1015,64.0495867768595,88.81987577639751,24.77028899953801,35.9504132231405,11.180124223602485,28.099173553718998,77.63975155279502,49.54057799907602,1173,1378,2077,0.5647568608570053,0.6634569090033703,Shift to Democrats,1
1019,62.87128712871287,90.47619047619048,27.60490334747761,37.12871287128713,9.523809523809524,25.742574257425744,80.95238095238096,55.20980669495522,1669,1897,2162,0.7719703977798335,0.8774283071230342,Shift to Democrats,1
1056,75.72815533980582,83.33333333333334,7.605177993527519,24.271844660194176,16.666666666666664,51.45631067961165,66.66666666666669,15.210355987055038,227,1161,1771,0.1281761716544325,0.655561829474873,Shift to Democrats,1
1059,78.33333333333333,91.93548387096774,13.602150537634415,21.666666666666668,8.064516129032258,56.66666666666666,83.87096774193549,27.20430107526883,676,1397,1572,0.4300254452926209,0.888676844783715,Shift to Democrats,1
1061,80.7017543859649,84.375,3.673245614035096,19.298245614035086,15.625,61.40350877192982,68.75,7.346491228070178,314,579,641,0.48985959438377535,0.9032761310452418,Shift to Democrats,1
1062,66.66666666666666,83.33333333333334,16.666666666666686,33.33333333333333,16.666666666666664,33.33333333333333,66.66666666666669,33.33333333333336,5,6,24,0.20833333333333334,0.25,Shift to Democrats,1
1064,,0,,,0,,0,,0,0,0,,,Shift to Republicans,-1
1066,68.67469879518072,80.8080808080808,12.133382012900086,31.32530120481928,19.19191919191919,37.349397590361434,61.61616161616161,24.266764025800178,1369,1933,2444,0.5601472995090017,0.7909165302782324,Shift to Democrats,1
1075,71.30044843049326,89.65517241379311,18.35472398329985,28.699551569506728,10.344827586206897,42.60089686098654,79.31034482758622,36.70944796659968,2021,2366,2626,0.7696115765422696,0.900990099009901,Shift to Democrats,1
1076,59.09732016925246,79.05236907730672,19.95504890805426,40.90267983074753,20.947630922693268,18.194640338504932,58.10473815461346,39.910097816108525,150,321,1454,0.1031636863823934,0.22077028885832187,Shift to Democrats,1
1082,62.78026905829597,85.39325842696628,22.612989368670313,37.219730941704036,14.606741573033707,25.560538116591935,70.78651685393258,45.22597873734065,1116,1284,1633,0.683404776484997,0.7862829148805879,Shift to Democrats,1
1088,76.92307692307693,82.14285714285714,5.219780219780205,23.076923076923077,17.857142857142858,53.846153846153854,64.28571428571428,10.439560439560424,2973,3483,3747,0.7934347477982386,0.9295436349079264,Shift to Democrats,1
1094,68.76712328767123,85.55133079847909,16.78420751080786,31.232876712328768,14.44866920152091,37.53424657534246,71.10266159695817,33.568415021615714,1185,1837,3103,0.381888495004834,0.5920077344505318,Shift to Democrats,1
1108,54.73887814313346,72.06477732793523,17.32589918480177,45.26112185686654,27.93522267206478,9.477756286266924,44.12955465587045,34.651798369603526,353,618,2676,0.13191330343796712,0.23094170403587444,Shift to Democrats,1
1109,63.82575757575758,83.15789473684211,19.332137161084532,36.17424242424242,16.842105263157894,27.651515151515156,66.31578947368422,38.664274322169064,2431,2769,3437,0.70730288041897,0.8056444573756183,Shift to Democrats,1
1111,25.727069351230426,54.93171471927162,29.20464536804119,74.27293064876957,45.068285280728375,-48.54586129753915,9.863429438543243,58.40929073608239,252,573,2522,0.0999206978588422,0.22720063441712926,Shift to Democrats,1
1146,66.64,81.20950323974083,14.569503239740826,33.36,18.790496760259177,33.28,62.41900647948165,29.13900647948165,905,2648,4050,0.2234567901234568,0.6538271604938272,Shift to Democrats,1
1151,60.108303249097474,70.48192771084338,10.373624461745905,39.891696750902526,29.518072289156628,20.21660649819495,40.96385542168675,20.747248923491803,411,1878,2565,0.16023391812865498,0.7321637426900585,Shift to Democrats,1
1170,64.26931905126243,80.03952569169961,15.77020664043718,35.730680948737565,19.960474308300398,28.538638102524864,60.07905138339921,31.540413280874347,2012,3504,5102,0.39435515484123873,0.6867894943159545,Shift to Democrats,1
1175,55.50098231827112,69.37269372693727,13.871711408666151,44.49901768172888,30.627306273062732,11.00196463654224,38.74538745387454,27.743422817332302,632,2157,3312,0.19082125603864733,0.6512681159420289,Shift to Democrats,1
1197,50.658857979502194,64.90566037735849,14.246802397856293,49.341142020497806,35.094339622641506,1.3177159590043885,29.81132075471698,28.493604795712592,477,1431,2924,0.1631326949384405,0.4893980848153215,Shift to Democrats,1
1198,51.388888888888886,82.22222222222221,30.83333333333333,48.61111111111111,17.77777777777778,2.7777777777777786,64.44444444444443,61.66666666666665,1073,1212,1507,0.7120106171201062,0.8042468480424685,Shift to Democrats,1
1199,41.81818181818181,48.148148148148145,6.329966329966332,58.18181818181818,51.85185185185185,-16.363636363636367,-3.7037037037037024,12.659932659932664,55,136,424,0.12971698113207547,0.32075471698113206,Shift to Democrats,1
1206,33.76068376068376,53.70786516853933,19.947181407855567,66.23931623931624,46.29213483146067,-32.47863247863248,7.4157303370786565,39.89436281571113,691,1021,3937,0.17551435102870205,0.25933451866903734,Shift to Democrats,1
1208,28.676470588235293,46.15384615384615,17.47737556561086,71.32352941176471,53.84615384615385,-42.64705882352942,-7.692307692307693,34.95475113122173,280,611,2649,0.10570026425066063,0.23065307663269158,Shift to Democrats,1
1227,69.23076923076923,79.45205479452055,10.221285563751323,30.76923076923077,20.54794520547945,38.46153846153845,58.9041095890411,20.442571127502646,608,2558,3169,0.19185863048280213,0.8071946986431051,Shift to Democrats,1
